Sentence	Length	Label	BOWPrediction	FloatSensitivity	SubspansPos	SubspansNeut	SubspansNeg	RobertaPrediction
it 's a charming and often affecting journey .	9	1	1	 0.937248185033968	8	9	0	1
unflinchingly bleak and desperate	4	0	0	 0.5957257456548484	0	1	6	0
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker .	20	1	1	 1.0970091074642716	19	20	0	1
the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .	20	1	1	 1.1776332672835468	4	34	1	1
it 's slow -- very , very slow .	9	0	0	 1.4347660175273356	0	7	10	0
although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women .	21	1	1	 0.9723500309106937	18	23	0	1
a sometimes tedious film .	5	0	0	 1.2648937699833884	0	4	5	0
or doing last year 's taxes with your ex-wife .	10	0	0	 1.5014241039380931	0	16	3	0
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .	20	1	1	 1.0927478320419284	15	24	0	1
in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey .	33	0	0	 0.6459329404040981	1	47	17	0
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted .	16	1	1	 0.8221656056172256	12	19	0	1
it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie .	30	0	1	 1.2019467864644657	3	46	10	0
... the film suffers from a lack of humor ( something needed to balance out the violence ) ...	19	0	0	 1.498010456512792	4	18	15	0
we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity .	23	1	1	 2.68859370139926	4	34	7	0
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor .	25	0	0	 1.2260443507559822	5	32	12	0
a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama .	20	1	1	 0.7384248971735586	20	18	1	1
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma .	18	1	1	 0.9006058871516487	4	29	2	1
audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie .	32	1	1	 1.033833412560885	26	37	0	1
... the movie is just a plain old monster .	10	0	0	 1.6147149353331103	0	14	5	0
in its best moments , resembles a bad high school production of grease , without benefit of song .	19	0	0	 1.0054537854688668	6	20	11	0
pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .	32	0	1	 2.0637397211531683	11	39	13	0
the iditarod lasts for days - this just felt like it did .	13	0	1	 3.3763980393934165	2	21	2	0
holden caulfield did it better .	6	0	1	 2.65472769745519	1	8	2	0
a delectable and intriguing thriller filled with surprises , read my lips is an original .	16	1	1	 0.7464407670668973	14	16	1	1
seldom has a movie so closely matched the spirit of a man and his work .	16	1	1	 0.8884761526651643	8	23	0	1
nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .	27	0	0	 1.8261691810525102	8	33	12	0
the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .	28	0	0	 1.4232673046183084	2	47	6	0
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part .	23	1	1	 0.7422938723074336	11	34	0	1
it 's a cookie-cutter movie , a cut-and-paste job .	10	0	0	 1.6119289878378138	0	11	8	0
i had to look away - this was god awful .	11	0	0	 1.298768968260042	0	13	8	0
thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men .	28	1	1	 0.7941002827219706	19	36	0	1
... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns .	25	0	1	 1.123875244350384	5	33	11	0
a gorgeous , witty , seductive movie .	8	1	1	 0.45744538298114445	8	7	0	1
if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world .	33	0	1	 1.6090318554889935	5	52	8	0
it does n't believe in itself , it has no sense of humor ... it 's just plain bored .	20	0	0	 0.9137493516483045	1	22	16	0
a sequence of ridiculous shoot - 'em - up scenes .	11	0	0	 1.8419046116892968	0	14	7	0
the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .	26	1	1	 1.2762191845239075	15	34	2	1
( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands .	27	0	1	 2.0205515638194744	8	37	8	0
as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming .	23	1	1	 1.0529104092956474	17	26	2	1
escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie .	16	1	1	 0.8594530985271381	10	20	1	1
there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .	19	1	1	 0.8473697547970589	18	19	0	1
this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath .	21	1	1	 0.6023657821987216	11	29	1	1
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation .	21	1	0	 0.9405621262757865	9	28	4	1
holm ... embodies the character with an effortlessly regal charisma .	11	1	1	 0.5607894062640061	12	9	0	1
the title not only describes its main characters , but the lazy people behind the camera as well .	19	0	1	 1.2762874926679697	1	29	7	0
it offers little beyond the momentary joys of pretty and weightless intellectual entertainment .	14	0	1	 1.27344832652964	8	15	4	0
a synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .	17	0	0	 1.355388368970408	7	18	8	0
a subtle and well-crafted ( for the most part ) chiller .	12	1	1	 0.8147307294628859	9	13	1	1
has a lot of the virtues of eastwood at his best .	12	1	1	 1.4065094590136038	9	14	0	1
it 's hampered by a lifetime-channel kind of plot and a lead actress who is out of her depth .	20	0	0	 1.7865269771771157	1	27	11	0
it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is about as exciting as gazing at an egg timer for 93 minutes .	35	0	0	 0.905178948621357	7	43	19	0
for the most part , director anne-sophie birot 's first feature is a sensitive , extraordinarily well-acted drama .	19	1	1	 0.8373852066997032	12	23	2	1
mr. tsai is a very original artist in his medium , and what time is it there ?	18	1	1	 1.8077249505679616	11	24	0	1
sade is an engaging look at the controversial eponymous and fiercely atheistic hero .	14	1	1	 0.8717018352647539	12	12	3	1
so devoid of any kind of intelligible story that it makes films like xxx and collateral damage seem like thoughtful treatises	21	0	0	 1.5525275194375912	5	28	8	0
a tender , heartfelt family drama .	7	1	1	 0.7928477463352708	7	5	1	1
... a hollow joke told by a cinematic gymnast having too much fun embellishing the misanthropic tale to actually engage it .	22	0	0	 1.4938069580857476	9	20	14	0
the cold turkey would 've been a far better title .	11	0	0	 1.0463057058143606	2	15	4	0
manages to be both repulsively sadistic and mundane .	9	0	0	 2.2508895515214737	0	6	11	0
it 's just disappointingly superficial -- a movie that has all the elements necessary to be a fascinating , involving character study , but never does more than scratch the surface .	32	0	0	 0.9808360793878265	12	43	8	0
this is a story of two misfits who do n't stand a chance alone , but together they are magnificent .	21	1	1	 0.9796853191018845	8	32	1	1
schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .	28	0	0	 1.164699626179631	2	36	17	0
the primitive force of this film seems to bubble up from the vast collective memory of the combatants .	19	1	0	 2.346296762537496	6	30	1	1
on this tricky topic , tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .	26	1	1	 0.8563318971795716	18	33	0	1
the script kicks in , and mr. hartley 's distended pace and foot-dragging rhythms follow .	16	0	1	 1.811834864386604	1	23	7	0
you wonder why enough was n't just a music video rather than a full-length movie .	16	0	0	 1.5012913835490616	1	26	4	0
if you 're hard up for raunchy college humor , this is your ticket right here .	17	1	0	 1.9251027057999504	8	24	1	1
a fast , funny , highly enjoyable movie .	9	1	1	 0.997091412539675	10	7	0	1
good old-fashioned slash-and-hack is back !	6	1	1	 0.9175665889813753	3	8	0	1
this one is definitely one to skip , even for horror movie fanatics .	14	0	1	 2.1760855683877085	2	18	7	0
for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never really builds up a head of emotional steam .	27	0	0	 2.3563774367848622	10	36	7	0
exquisitely nuanced in mood tics and dialogue , this chamber drama is superbly acted by the deeply appealing veteran bouquet and the chilling but quite human berling .	28	1	1	 0.7499068359846269	22	29	4	1
uses high comedy to evoke surprising poignance .	8	1	1	 0.5544770469365295	9	6	0	1
one of creepiest , scariest movies to come along in a long , long time , easily rivaling blair witch or the others .	24	1	0	 1.5022624420391193	12	34	1	1
a string of rehashed sight gags based in insipid vulgarity .	11	0	0	 1.00360528461122	1	8	12	0
among the year 's most intriguing explorations of alientation .	10	1	1	 0.9617952670211068	8	10	1	1
the movie fails to live up to the sum of its parts .	13	0	0	 1.145311469072711	1	19	5	0
the son 's room is a triumph of gentility that earns its moments of pathos .	16	1	1	 1.0004727244163667	9	22	0	1
there is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .	31	1	1	 1.1963360092635855	15	40	6	1
this is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .	44	0	0	 0.7812589701177428	2	56	29	0
the draw ( for `` big bad love '' ) is a solid performance by arliss howard .	18	1	1	 1.0084767036941495	11	22	2	1
green might want to hang onto that ski mask , as robbery may be the only way to pay for his next project .	24	0	0	 1.28045761158335	1	36	10	0
it 's one pussy-ass world when even killer-thrillers revolve around group therapy sessions .	14	0	1	 1.1210231226834302	0	21	6	0
though it 's become almost redundant to say so , major kudos go to leigh for actually casting people who look working-class .	23	1	0	 1.5687358253741697	8	31	6	1
the band 's courage in the face of official repression is inspiring , especially for aging hippies ( this one included ) .	23	1	1	 1.1673004597377281	9	28	8	1
the movie achieves as great an impact by keeping these thoughts hidden as ... ( quills ) did by showing them .	22	1	1	 1.554672884435633	9	33	1	1
the film flat lines when it should peak and is more missed opportunity and trifle than dark , decadent truffle .	21	0	0	 0.992831903344548	3	31	7	0
jaglom ... put ( s ) the audience in the privileged position of eavesdropping on his characters	17	1	1	 2.526398454540028	4	28	1	1
fresnadillo 's dark and jolting images have a way of plying into your subconscious like the nightmare you had a week ago that wo n't go away .	28	1	0	 1.2722763876957988	5	39	11	1
we know the plot 's a little crazy , but it held my interest from start to finish .	19	1	1	 1.0684046055550975	6	31	0	1
it 's a scattershot affair , but when it hits its mark it 's brilliant .	16	1	1	 1.3464755415894873	8	20	3	1
hardly a masterpiece , but it introduces viewers to a good charitable enterprise and some interesting real people .	19	1	1	 1.0335932371309822	20	16	1	1
you wo n't like roger , but you will quickly recognize him .	13	0	1	 2.4485935393361498	2	18	5	1
if steven soderbergh 's ` solaris ' is a failure it is a glorious failure .	16	1	0	 1.4538419431174041	2	18	11	0
byler reveals his characters in a way that intrigues and even fascinates us , and he never reduces the situation to simple melodrama .	24	1	1	 0.8268415148879331	17	30	0	1
this riveting world war ii moral suspense story deals with the shadow side of american culture : racial prejudice in its ugly and diverse forms .	26	0	1	 0.8156140443204355	10	33	8	1
it 's difficult to imagine the process that produced such a script , but here 's guessing that spray cheese and underarm noises played a crucial role .	28	0	1	 2.475081953581626	1	37	17	0
no sophomore slump for director sam mendes , who segues from oscar winner to oscar-winning potential with a smooth sleight of hand .	23	1	1	 0.7731604501307384	20	23	2	1
on the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .	21	0	0	 1.7529642826428713	3	24	14	0
why make a documentary about these marginal historical figures ?	10	0	0	 0.9331268135458186	0	17	2	0
neither parker nor donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .	22	1	1	 1.0985271930140748	13	27	3	1
his last movie was poetically romantic and full of indelible images , but his latest has nothing going for it .	21	0	1	 1.7806772930850854	10	25	6	0
does paint some memorable images ... , but makhmalbaf keeps her distance from the characters	15	1	1	 2.4092785146357336	7	21	1	1
a gripping movie , played with performances that are all understated and touching .	14	1	1	 1.0038686689339058	13	14	0	1
it 's one of those baseball pictures where the hero is stoic , the wife is patient , the kids are as cute as all get-out and the odds against success are long enough to intimidate , but short enough to make a dream seem possible .	47	1	1	 1.3745192647093376	16	77	0	1
combining quick-cut editing and a blaring heavy metal much of the time , beck seems to be under the illusion that he 's shooting the latest system of a down video .	32	0	0	 2.2916018739130415	2	52	9	0
the movie 's relatively simple plot and uncomplicated morality play well with the affable cast .	16	1	1	 1.156200705054431	8	23	0	1
what the director ca n't do is make either of val kilmer 's two personas interesting or worth caring about .	21	0	1	 1.5577335345265153	1	33	7	0
too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance .	20	0	0	 0.7449061916964395	2	25	12	0
it 's great escapist fun that recreates a place and time that will never happen again .	17	1	1	 0.9040499860035305	11	21	1	1
scores no points for originality , wit , or intelligence .	11	0	1	 1.5263672711542524	7	9	5	0
there is n't nearly enough fun here , despite the presence of some appealing ingredients .	16	0	1	 1.5491823554009652	6	22	3	0
hilariously inept and ridiculous .	5	1	0	 1.5271821237647427	2	2	5	1
it haunts you , you ca n't forget it , you admire its conception and are able to resolve some of the confusions you had while watching it .	29	1	1	 1.0684481062940716	12	40	5	1
sam mendes has become valedictorian at the school for soft landings and easy ways out .	16	0	0	 4.651816968055784	2	27	2	1
one of the smartest takes on singles culture i 've seen in a long time .	16	1	1	 0.9712456132267343	4	27	0	1
moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .	26	1	1	 0.9027334069529407	15	33	3	1
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable .	20	0	1	 2.2437363248144453	3	28	8	0
comes ... uncomfortably close to coasting in the treads of the bicycle thief .	14	0	0	 2.1597148050275075	0	25	2	0
warm water under a red bridge is a quirky and poignant japanese film that explores the fascinating connections between women , water , nature , and sexuality .	28	1	1	 0.672270865671899	20	34	1	1
it seems to me the film is about the art of ripping people off without ever letting them consciously know you have done so	24	0	1	 2.498862236784752	1	37	9	0
old-form moviemaking at its best .	6	1	1	 1.0178843735525076	5	6	0	1
turns potentially forgettable formula into something strangely diverting .	9	1	1	 1.6648431619218433	4	9	4	1
( lawrence bounces ) all over the stage , dancing , running , sweating , mopping his face and generally displaying the wacky talent that brought him fame in the first place .	33	1	1	 2.802402735789908	17	47	1	1
a movie that reminds us of just how exciting and satisfying the fantasy cinema can be when it 's approached with imagination and flair .	25	1	1	 0.613663370751605	22	27	0	1
confirms the nagging suspicion that ethan hawke would be even worse behind the camera than he is in front of it .	22	0	0	 1.1781477928047532	1	29	13	0
in the end , we are left with something like two ships passing in the night rather than any insights into gay love , chinese society or the price one pays for being dishonest .	35	0	0	 1.400285642955747	1	59	9	0
montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .	28	1	1	 0.8202879607327894	20	34	1	1
it provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .	19	1	1	 0.8261248462008658	24	13	0	1
suffers from the lack of a compelling or comprehensible narrative .	11	0	0	 0.9594461144775784	6	11	4	0
in execution , this clever idea is far less funny than the original , killers from space .	18	0	1	 2.5057918764428715	7	20	8	0
scooby dooby doo / and shaggy too / you both look and sound great .	15	1	0	 1.4739260680439878	9	20	0	1
the tale of tok ( andy lau ) , a sleek sociopath on the trail of o ( takashi sorimachi ) , the most legendary of asian hitmen , is too scattershot to take hold .	36	0	1	 2.5178987653047646	8	54	9	0
it all drags on so interminably it 's like watching a miserable relationship unfold in real time .	18	0	0	 0.8698414273385846	1	19	15	0
pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer adam larson broder and his co-director , tony r. abrams , in their feature debut .	37	0	1	 3.843256456779551	5	65	3	0
looks and feels like a project better suited for the small screen .	13	0	1	 1.779884090647963	3	18	4	0
forced , familiar and thoroughly condescending .	7	0	0	 1.434749885083474	0	6	7	0
that is a compliment to kuras and miller .	9	1	1	 1.811614282579959	5	12	0	1
it 's not the ultimate depression-era gangster movie .	9	0	0	 2.7003118087828026	3	9	5	0
sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .	14	0	0	 1.4248990477229577	1	21	5	0
the character of zigzag is not sufficiently developed to support a film constructed around him .	16	0	1	 1.9151585700434788	3	23	5	0
what better message than ` love thyself ' could young women of any size receive ?	16	1	1	 0.9384005767745387	8	22	1	1
a solid film ... but more conscientious than it is truly stirring .	13	1	1	 1.4331912807691645	9	16	0	1
while ( hill ) has learned new tricks , the tricks alone are not enough to salvage this lifeless boxing film .	22	0	0	 1.0010743210489061	3	28	12	0
the best that can be said about the work here of scottish director ritchie ... is that he obviously does n't have his heart in it .	27	0	1	 3.1975008934895954	3	41	9	0
about a manga-like heroine who fights back at her abusers , it 's energetic and satisfying if not deep and psychological .	22	1	1	 1.0902892957565333	16	23	4	1
feels too formulaic and too familiar to produce the transgressive thrills of early underground work .	16	0	0	 1.4654046287365219	3	22	6	0
the volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-hollywood that it seems positively french in its rhythms and resonance .	30	1	1	 1.4316241864538068	12	44	3	1
overall very good for what it 's trying to do .	11	1	1	 0.8152464002898476	5	16	0	1
a big , gorgeous , sprawling swashbuckler that delivers its diversions in grand , uncomplicated fashion .	17	1	1	 0.6981118611734676	16	17	0	1
a difficult , absorbing film that manages to convey more substance despite its repetitions and inconsistencies than do most films than are far more pointed and clear .	28	1	1	 1.3493087884149282	12	37	6	1
the heavy-handed film is almost laughable as a consequence .	10	0	0	 1.4938784261063778	0	11	8	0
a solid examination of the male midlife crisis .	9	1	1	 0.980086051237654	4	12	1	1
a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .	29	0	0	 0.8393635861846395	2	36	19	0
manages to transcend the sex , drugs and show-tunes plot into something far richer .	15	1	1	 1.063863331951732	9	20	0	1
it takes talent to make a lifeless movie about the most heinous man who ever lived .	17	0	0	 1.4618103503813398	1	20	12	0
by getting myself wrapped up in the visuals and eccentricities of many of the characters , i found myself confused when it came time to get to the heart of the movie .	33	0	1	 1.859739925494401	6	50	9	0
like leon , it 's frustrating and still oddly likable .	11	1	1	 2.179089230705877	9	10	2	1
uncommonly stylish but equally silly ... the picture fails to generate much suspense , nor does it ask searching enough questions to justify its pretensions .	26	0	0	 0.866157685788554	8	29	14	0
not exactly the bees knees	5	0	0	 1.316339015961483	2	6	1	0
there seems to be no clear path as to where the story 's going , or how long it 's going to take to get there .	27	0	0	 1.8848334196234386	0	45	8	0
slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ?	44	0	0	 0.8118397971426977	4	70	13	0
a woman 's pic directed with resonance by ilya chaiken .	11	1	1	 1.4769309260510053	4	17	0	1
may reawaken discussion of the kennedy assassination but this fictional film looks made for cable rather than for the big screen .	22	0	1	 1.6942593306202414	0	35	8	0
characters still need to function according to some set of believable and comprehensible impulses , no matter how many drugs they do or how much artistic license avary employs .	30	0	0	 1.820948683377476	5	49	5	0
the end result is a film that 's neither .	10	0	0	 2.146004199980366	0	16	3	0
manages to be sweet and wickedly satisfying at the same time .	12	1	1	 0.8205336305790248	10	13	0	1
leigh 's film is full of memorable performances from top to bottom .	13	1	1	 1.271627932627408	10	14	1	1
it 's also , clearly , great fun .	9	1	1	 1.0981411018216864	6	11	0	1
rarely has leukemia looked so shimmering and benign .	9	0	0	 1.7845865786074526	0	14	3	1
it seems like i have been waiting my whole life for this movie and now i ca n't wait for the sequel .	23	1	0	 3.019325074431241	15	30	0	1
determined to be fun , and bouncy , with energetic musicals , the humor did n't quite engage this adult .	21	0	1	 2.181213444091184	15	21	5	0
if you dig on david mamet 's mind tricks ... rent this movie and enjoy !	16	1	1	 0.9606131107206467	9	22	0	1
bleakly funny , its characters all the more touching for refusing to pity or memorialize themselves .	17	1	1	 1.5810153868953343	7	23	3	1
delivers the same old same old , tarted up with latin flava and turned out by hollywood playas .	19	0	1	 2.03229798424325	2	27	8	0
does n't offer much besides glib soullessness , raunchy language and a series of brutal set pieces ... that raise the bar on stylized screen violence .	27	0	0	 1.8942391759356894	3	33	17	0
it made me want to wrench my eyes out of my head and toss them at the screen .	19	0	0	 1.4891310888379339	1	24	12	0
the film 's performances are thrilling .	7	1	1	 0.7760084418413504	3	10	0	1
unfortunately , it 's not silly fun unless you enjoy really bad movies .	14	0	0	 0.9024326194249819	4	9	14	0
it 's a bad thing when a movie has about as much substance as its end credits blooper reel .	20	0	0	 1.2963964503900018	1	25	13	0
i sympathize with the plight of these families , but the movie does n't do a very good job conveying the issue at hand .	25	0	1	 1.9202506588222494	6	36	7	0
the lower your expectations , the more you 'll enjoy it .	12	0	1	 1.174208923943546	7	15	1	1
though perry and hurley make inspiring efforts to breathe life into the disjointed , haphazard script by jay scherick and david ronn , neither the actors nor director reginald hudlin can make it more than fitfully entertaining .	38	0	0	 1.375274359628019	12	53	10	0
a must-see for the david mamet enthusiast and for anyone who appreciates intelligent , stylish moviemaking .	17	1	1	 0.7081349168851274	19	14	0	1
pacino is brilliant as the sleep-deprived dormer , his increasing weariness as much existential as it is physical .	19	1	1	 0.8027223989258297	6	27	4	1
` de niro ... is a veritable source of sincere passion that this hollywood contrivance orbits around . '	19	1	1	 2.4295649630656193	9	25	3	1
a misogynistic piece of filth that attempts to pass itself off as hip , young adult entertainment .	18	0	0	 0.9247740094983207	5	22	8	0
its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ?	27	0	0	 1.0931214966112934	2	40	11	0
try as i may , i ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` thank you ! '	33	0	1	 2.490351492197336	7	45	13	0
the movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in hollywood 's hastier productions .	31	1	1	 0.6948883992700436	18	40	3	1
a celebration of quirkiness , eccentricity , and certain individuals ' tendency to let it all hang out , and damn the consequences .	24	1	1	 0.8714565077120845	13	32	2	1
morton uses her face and her body language to bring us morvern 's soul , even though the character is almost completely deadpan .	24	1	1	 1.4784950395709708	6	36	5	1
instead of a hyperbolic beat-charged urban western , it 's an unpretentious , sociologically pointed slice of life .	19	1	1	 1.0066887932242738	15	22	0	1
my thoughts were focused on the characters .	8	1	1	 1.7807776927987018	1	14	0	1
so , too , is this comedy about mild culture clashing in today 's new delhi .	17	1	1	 2.8181183556538656	3	29	1	1
for starters , the story is just too slim .	10	0	0	 1.5024964757157422	0	14	5	0
this is a winning ensemble comedy that shows canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .	33	1	1	 0.8554317307048643	26	39	0	1
at the very least , if you do n't know anything about derrida when you walk into the theater , you wo n't know much more when you leave .	30	0	1	 2.260714267854828	1	47	11	0
the format gets used best ... to capture the dizzying heights achieved by motocross and bmx riders , whose balletic hotdogging occasionally ends in bone-crushing screwups .	27	1	1	 2.862711945701524	9	37	7	1
inside the film 's conflict-powered plot there is a decent moral trying to get out , but it 's not that , it 's the tension that keeps you in your seat .	33	1	1	 1.84168054150305	20	42	3	1
there ought to be a directing license , so that ed burns can have his revoked .	17	0	0	 1.0721037593253255	0	26	7	0
bad .	2	0	0	 0.5629348307627303	0	1	2	0
that dogged good will of the parents and ` vain ' jia 's defoliation of ego , make the film touching despite some doldrums .	25	1	1	 1.2775296829667648	11	34	4	1
falls neatly into the category of good stupid fun .	10	1	0	 1.7928664083586274	10	8	1	1
an artful , intelligent film that stays within the confines of a well-established genre .	15	1	1	 0.6503108726054578	13	16	0	1
smart , provocative and blisteringly funny .	7	1	1	 0.8556877375053412	9	4	0	1
and the lesson , in the end , is nothing new .	12	0	0	 2.817662493594721	1	17	5	0
this is not the undisputed worst boxing movie ever , but it 's certainly not a champion - the big loser is the audience .	25	0	0	 0.958210719914168	4	27	18	0
not only is undercover brother as funny , if not more so , than both austin powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .	37	1	1	 1.1121419025478494	21	51	1	1
to say this was done better in wilder 's some like it hot is like saying the sun rises in the east .	23	0	0	 3.8652909464321294	6	34	5	0
the entire movie is about a boring , sad man being boring and sad .	15	0	0	 1.1314527263835261	0	16	13	0
this time mr. burns is trying something in the martin scorsese street-realist mode , but his self-regarding sentimentality trips him up again .	23	0	0	 1.263607146955182	4	35	6	0
perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie .	35	0	0	 0.9528316374875931	7	38	24	0
the best revenge may just be living well because this film , unlike other dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .	30	1	1	 3.05244556145828	17	39	3	1
the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure .	28	1	1	 0.7813917678811722	17	38	0	1
once ( kim ) begins to overplay the shock tactics and bait-and-tackle metaphors , you may decide it 's too high a price to pay for a shimmering picture postcard .	31	0	1	 1.3000129163129495	5	41	15	0
all that 's missing is the spontaneity , originality and delight .	12	0	1	 1.7122021291407907	9	13	1	0
what the film lacks in general focus it makes up for in compassion , as corcuera manages to find the seeds of hope in the form of collective action .	30	1	1	 1.440456328943178	13	42	4	1
the socio-histo-political treatise is told in earnest strides ... ( and ) personal illusion is deconstructed with poignancy .	19	1	1	 0.7847219975558278	11	23	3	1
my reaction in a word : disappointment .	8	0	0	 1.2078460454966526	1	11	3	0
a psychological thriller with a genuinely spooky premise and an above-average cast , actor bill paxton 's directing debut is a creepy slice of gothic rural americana .	28	1	1	 1.2063936394608854	19	34	2	1
corny , schmaltzy and predictable , but still manages to be kind of heartwarming , nonetheless .	17	1	1	 1.6175022647927328	13	15	5	1
